name,type,status,agency_id,email,phone,address,contact_person,notes,payment_terms,cqc_rating,bed_capacity,website
Divine Care Centre,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest1@gmail.com,,"{""line1"":""100 High Street"",""line2"":"""",""city"":""Wingate"",""postcode"":""TS28 5EN"",""country"":""UK""}","{""name"":""Margaret Smith"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest1@gmail.com"",""phone"":""1234567890""}",CQC Outstanding,net_30,good,50,
SELF LIMITED,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest2@gmail.com,,"{""line1"":""14-16 Park View"",""line2"":""Hetton Le Hole"",""city"":""Tyne & Wear"",""postcode"":""DH5 9JH"",""country"":""UK""}","{""name"":""Ross Cousins"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest2@gmail.com"",""phone"":""1915268565""}",CQC Outstanding,net_30,Good,0,
RICHMOND COURT,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest3@gmail.com,,"{""line1"":""Hall Lane, Willington "",""line2"":""Crook"",""city"":""County Durham"",""postcode"":""DL15 0PR"",""country"":""UK""}","{""name"":""Lynn Spencer"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest3@gmail.com"",""phone"":""1388745675""}",,net_30,Good,0,
LUMLEY COURT,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest4@gmail.com,,"{""line1"":""Hall Lane, Willington "",""line2"":""Crook"",""city"":""County Durham"",""postcode"":""DL15 0PR"",""country"":""UK""}","{""name"":""Julie Gray"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest4@gmail.com"",""phone"":""1388747698""}",,net_30,Good,0,
PORTLAND HUB,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest5@gmail.com,,"{""line1"":""Portland Hub, Willington Care Village"",""line2"":""Crook"",""city"":""County Durham"",""postcode"":""DL15 0PR"",""country"":""UK""}","{""name"":""Tish Taylor"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest5@gmail.com"",""phone"":""1388747698""}",,net_30,Good,0,
CASTLEBANK,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest6@gmail.com,,"{""line1"":""22 Castle Bank, Tow Law"",""line2"":""Bishop Auckland"",""city"":""Bishop Auckland"",""postcode"":""DL13 4AE"",""country"":""UK""}","{""name"":""Kate Boughey"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest6@gmail.com"",""phone"":""1388731152""}",,net_30,Good,0,
BENFIELD HALL,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest7@gmail.com,,"{""line1"":""155 Durham Road"",""line2"":""Consett"",""city"":""County Durham"",""postcode"":""DH8 5TH"",""country"":""UK""}","{""name"":""Margaretta malec"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest7@gmail.com"",""phone"":""1207591020""}",,net_30,Good,0,
CURA CARE UK,supported_living,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest8@gmail.com,,"{""line1"":""Unit 10 Waterside House"",""line2"":""Sunderland Enterprise Park"",""city"":""Sunderland, Tyne & Wear"",""postcode"":""SR5 2TZ"",""country"":""UK""}","{""name"":""Corrinne Towsey"",""role"":""Head of Operations"",""email"":""g.basera5+clienttest8@gmail.com"",""phone"":""1915001131""}",,net_30,Good,0,
GRAIGARANN NURSING HOME,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest9@gmail.com,,"{""line1"":""Cinnamon Drive, trimdon station"",""line2"":""Hartlepool"",""city"":""County Durham"",""postcode"":""TS29 6NY"",""country"":""UK""}","{""name"":""Sarah Bewick"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest9@gmail.com"",""phone"":""01429 880550""}",,net_30,Good,0,
CLAYTON HOUSE,care_home,active,c8e84c94-8233-4084-b4c3-63ad9dc81c16,g.basera5+clienttest10@gmail.com,,"{""line1"":""Victoria Terrace"",""line2"":""Saltburn by Sea,"",""city"":""County Durham"",""postcode"":""TS12 1HN"",""country"":""UK""}","{""name"":""Mark Kirby"",""role"":""Care Home Manager"",""email"":""g.basera5+clienttest10@gmail.com"",""phone"":""01287 622468 / 07386 700516""}",,net_30,Good,0,
